latitude,longitude,rwi,error
33.4955973,10.5358887,-0.224,0.497
35.7554279,9.8767090,-0.338,0.448
33.5688607,9.8327637,-0.501,0.314
36.0402154,8.5363770,-0.403,0.380
36.1290012,10.4699707,-0.156,0.577
35.3084009,10.9313965,-0.096,0.510
35.2545905,10.6457520,0.820,0.475
35.0209992,10.2502441,-0.073,0.427
34.4975022,8.2946777,-0.471,0.448
36.4477986,10.0964355,-0.389,0.486
36.9762263,9.1516113,-0.718,0.495
36.9235472,8.8220215,-0.519,0.377
36.7300790,9.2175293,0.413,0.481
35.0030029,9.6350098,-0.053,0.364
36.7828916,10.0085449,0.015,0.489
34.4250356,10.3161621,-0.414,0.359
34.8228222,8.4484863,-0.343,0.364
36.3770673,8.6022949,-0.451,0.344
36.9411109,8.7341309,-0.098,0.434
36.5184655,8.4484863,0.676,0.476
37.0464084,9.8986816,-0.184,0.449
36.3062717,9.3493652,-0.455,0.383
35.8445340,9.1296387,0.075,0.422
33.7334762,10.9313965,0.577,0.411
37.1865781,9.4812012,-0.040,0.410
33.7334762,10.1184082,-1.132,0.363
32.0173911,10.6896973,0.771,0.486
36.8356677,10.1843262,0.966,0.469
37.0113254,8.9978027,-0.464,0.406
35.5769160,8.5363770,-0.330,0.387
34.6241673,9.7448730,-0.120,0.444
36.6419773,10.8435059,-0.338,0.483
35.9513294,8.9099121,-0.527,0.389
33.3305278,10.2941895,-0.504,0.356
33.6786394,9.7009277,-0.468,0.325
35.2007443,10.9313965,-0.186,0.493
34.8408581,10.8215332,0.086,0.459
34.5518109,10.4699707,-0.505,0.386
35.7019162,8.7780762,-0.784,0.355
32.9072618,10.5358887,0.130,0.369
35.9157469,8.9758301,-0.430,0.421
33.5688607,9.0417480,-0.278,0.389
35.2545905,9.6350098,0.091,0.338
34.9489902,10.7556152,-0.206,0.511
36.0402154,9.9865723,-0.486,0.468
35.0749644,10.9973145,-0.326,0.503
34.5518109,9.5031738,-0.841,0.350
34.6422466,9.6130371,-0.387,0.391
36.0224462,10.0964355,-0.522,0.445
35.5411658,9.0637207,0.668,0.541
35.4696175,9.9426270,-0.550,0.419
34.5337119,10.3601074,-0.173,0.383
36.8356677,9.6569824,-0.494,0.426
34.6603219,8.6242676,-0.512,0.342
35.0209992,9.1296387,-0.393,0.340
33.5871669,10.0964355,-0.341,0.391
35.7732571,9.8107910,-0.857,0.363
36.0046730,9.4592285,-0.681,0.398
35.6126503,9.7668457,-0.466,0.387
37.1865781,10.2062988,0.798,0.559
35.1468624,10.1843262,-0.261,0.352
35.3980054,8.8439941,-0.294,0.384
34.2799139,9.6569824,-0.573,0.331
36.6948504,10.8654785,-0.071,0.485
33.6237675,10.5139160,0.130,0.423
34.7686910,10.3820801,-0.435,0.362
35.7554279,10.0305176,-0.449,0.430
35.5232847,10.2502441,-0.113,0.466
36.8884075,10.7995605,0.742,0.491
36.2531327,9.7448730,-0.550,0.407
35.1288938,10.8874512,-0.288,0.523
35.1109213,9.9206543,-0.599,0.385
34.4250356,10.0964355,-0.211,0.401
33.5322367,10.0744629,0.084,0.323
35.5411658,10.4919434,-0.633,0.385
36.4124410,9.7448730,-0.786,0.415
37.2215800,9.9426270,0.498,0.504
36.0402154,9.6350098,0.133,0.475
35.7019162,8.8439941,-0.624,0.339
35.3442547,10.6896973,-0.425,0.485
34.1709079,8.6462402,-0.609,0.360
33.8977765,10.0744629,0.947,0.408
34.9850026,10.6896973,-0.099,0.439
35.4875105,9.2175293,0.111,0.350
36.2354117,10.4260254,0.347,0.485
35.9691146,10.4479980,0.289,0.454
37.0288689,10.9533691,-0.204,0.488
36.7124667,9.7009277,-0.121,0.447
32.8149779,10.4479980,-0.345,0.403
36.0757417,10.0964355,-0.660,0.465
32.8519030,10.6237793,-0.616,0.360
33.3121674,10.6896973,-0.100,0.395
35.2186970,8.7780762,-0.170,0.404
35.4338194,9.4152832,-0.249,0.410
36.6419773,10.5798340,0.842,0.543
35.3980054,8.9758301,-0.478,0.359
34.6964607,9.1735840,-0.638,0.339
34.7506393,9.7448730,-0.378,0.364
35.0569799,9.5910645,-0.680,0.386
36.7476872,8.9978027,0.127,0.403
36.2531327,9.4372559,-0.230,0.362
33.2203073,10.1403809,-0.008,0.385
36.0224462,9.9865723,-0.280,0.434
36.8532517,10.2282715,0.220,0.576
34.8047824,10.4479980,-0.603,0.373
34.8588900,9.8547363,-0.289,0.425
37.1165257,10.0964355,-0.062,0.481
35.8267208,9.0197754,-0.389,0.369
34.0253472,10.0305176,-0.473,0.357
34.4069092,8.6682129,-0.652,0.539
35.6662218,9.5471191,-0.105,0.386
36.6419773,9.7888184,-0.088,0.453
36.5361221,9.8107910,-0.593,0.388
36.2708497,10.0305176,-0.026,0.519
36.0934989,10.1403809,-0.068,0.448
37.2915350,9.5690918,-0.304,0.416
33.8430448,9.9206543,-0.535,0.342
36.5537747,9.0856934,0.090,0.398
33.5688607,11.0852051,0.374,0.443
36.3593745,9.1076660,-0.600,0.331
36.2531327,10.2062988,-0.543,0.404
37.0113254,9.6789551,-0.236,0.457
35.4875105,10.7556152,0.367,0.522
34.6241673,9.1735840,-0.113,0.315
36.8708317,9.6789551,-0.353,0.451
35.0929448,9.8327637,0.196,0.387
37.0990024,9.5031738,-0.419,0.404
