latitude,longitude,rwi,error
39.8338496,66.3684082,-0.575,0.326
43.0448049,59.7766113,-0.722,0.287
38.6254535,67.1154785,0.219,0.352
40.3716584,71.7956543,0.611,0.417
41.8940990,61.4025879,-0.714,0.289
42.0574497,60.1940918,-0.302,0.284
40.2543761,69.1809082,-0.220,0.309
39.4107325,66.3903809,-0.450,0.340
38.4363791,68.1262207,0.075,0.337
38.7455147,65.1159668,-0.127,0.306
40.6056115,72.0593262,-0.306,0.265
40.7389327,70.9826660,-0.122,0.339
41.4674278,60.2819824,-0.330,0.286
38.6769329,66.3024902,0.146,0.406
40.8553700,71.0046387,-0.210,0.376
41.5661414,60.5236816,-0.426,0.307
39.3767715,66.1706543,-0.855,0.296
41.1372955,71.5100098,-0.130,0.330
39.8844497,66.6320801,0.994,0.410
40.6222913,68.6755371,-0.169,0.309
40.9550108,69.9719238,-0.420,0.314
40.1704783,65.4895020,-0.201,0.269
41.1538418,71.4660645,-0.196,0.333
39.9013081,68.4997559,-0.159,0.323
40.7888594,72.9162598,0.179,0.338
40.3883964,67.9724121,-0.591,0.302
40.7389327,71.1804199,-0.189,0.317
39.3087998,66.2365723,-0.588,0.296
40.6056115,70.9167480,-0.049,0.327
37.6403344,67.4450684,-0.333,0.305
40.8886003,68.8952637,0.263,0.319
42.3504246,59.9084473,-0.595,0.288
40.5054458,66.0388184,-0.550,0.303
40.0360260,68.4338379,-0.279,0.352
42.7066590,58.8098145,-0.186,0.295
41.6154418,60.9411621,-0.197,0.317
40.3549162,67.9504395,-0.903,0.301
38.8995829,66.3903809,0.049,0.298
39.9013081,65.9069824,-0.440,0.333
37.9008646,67.7526855,0.145,0.310
38.5223836,65.7531738,-0.657,0.318
38.1259141,68.0603027,-0.190,0.303
38.2295499,67.2253418,-0.529,0.303
41.4674278,60.6774902,-0.311,0.354
39.3937541,67.2253418,0.947,0.393
42.8518056,59.6667480,-0.269,0.285
41.4344898,69.5544434,1.037,0.390
42.3016898,59.7326660,-0.333,0.288
39.9855379,64.2810059,-0.547,0.366
40.6889685,68.7854004,-0.459,0.309
42.5773543,58.9855957,-0.445,0.283
41.6154418,60.3918457,-0.418,0.289
40.5054458,67.8625488,-0.396,0.380
42.7228032,59.8645020,-0.523,0.285
39.0703786,67.0056152,-0.147,0.315
41.4509609,60.2600098,-0.702,0.288
40.3883964,69.0930176,0.170,0.313
43.1891572,59.6667480,-0.293,0.299
40.4553067,67.7746582,-0.354,0.314
41.4674278,60.6115723,-0.354,0.332
41.3850514,60.7434082,-0.882,0.306
38.2295499,67.1813965,-0.287,0.416
40.5388510,70.9167480,1.962,0.410
41.3190751,71.7297363,-0.363,0.324
40.5555474,71.4880371,0.177,0.319
41.9758267,60.6115723,-0.322,0.305
37.7272798,67.0495605,-0.249,0.415
41.3355755,69.3786621,0.957,0.420
40.8221231,69.3347168,0.481,0.315
40.7555791,70.8288574,0.088,0.428
38.3330383,67.9504395,-0.373,0.320
37.5184397,67.5549316,-0.023,0.323
40.3381699,71.9494629,0.145,0.347
40.4553067,71.7297363,0.783,0.400
43.0929602,59.8645020,-0.762,0.286
40.4720239,70.9606934,-0.275,0.447
40.8719872,71.5539551,0.162,0.425
38.3330383,67.6428223,-0.200,0.308
39.7663247,66.9396973,-0.214,0.351
40.4385853,69.2028809,0.383,0.309
38.2295499,67.7526855,-0.133,0.437
41.4344898,60.3039551,-0.424,0.288
42.4153456,59.4470215,1.030,0.378
40.6723055,71.7517090,0.139,0.367
40.3214195,69.0710449,0.030,0.303
40.6556382,72.1691895,-0.294,0.387
42.3341839,59.5788574,1.055,0.389
41.1703840,68.9611816,-0.259,0.343
40.5388510,71.8395996,0.057,0.328
39.7663247,66.5002441,-0.150,0.314
39.7325375,68.0163574,-0.314,0.298
41.4344898,69.3347168,1.427,0.394
41.6482878,60.9851074,-0.375,0.290
38.1431970,67.3571777,0.092,0.317
39.0021098,66.3024902,-0.340,0.299
41.0710686,71.6857910,-0.443,0.360
40.6889685,72.7185059,-0.259,0.411
39.1726582,66.4343262,-0.556,0.314
39.3087998,66.6320801,-0.306,0.294
41.0213546,69.3347168,0.066,0.392
42.8195802,59.6447754,-0.538,0.286
40.9550108,71.9274902,0.024,0.379
39.5464114,67.2912598,-0.160,0.330
42.7873380,59.7326660,-0.448,0.250
41.6811170,61.0510254,-0.648,0.308
39.2067183,66.0168457,-0.573,0.297
41.2365107,69.2028809,1.052,0.395
40.5555474,71.9714355,0.206,0.311
40.3214195,67.0495605,-0.629,0.296
39.8338496,66.6979980,-0.353,0.296
38.4363791,65.5554199,-0.195,0.301
39.4277069,63.8195801,-0.155,0.348
42.6743581,59.9084473,-0.681,0.286
38.9679506,64.4787598,0.052,0.367
41.7139296,60.9191895,-0.548,0.306
40.6056115,69.1809082,0.274,0.321
40.9716030,69.9938965,0.031,0.390
38.8482639,67.1154785,-0.396,0.301
38.0740409,67.2692871,-0.751,0.300
40.7056274,72.5866699,-0.378,0.346
40.5054458,72.1691895,-0.429,0.319
39.9855379,66.7199707,-0.243,0.322
37.4486961,67.0495605,-0.436,0.307
39.8844497,67.5988770,-0.082,0.435
40.2040499,66.5222168,-0.542,0.297
38.6254535,65.7312012,-0.693,0.303
40.0864768,68.2800293,-0.170,0.337
43.1250426,59.9743652,-0.510,0.287
38.7283754,65.9289551,0.168,0.354
38.3330383,66.8518066,-0.292,0.295
40.4218598,67.9504395,-0.720,0.316
40.1872662,65.9948730,-0.090,0.302
40.4887369,66.2805176,-0.544,0.299
40.2711432,66.9396973,-0.335,0.297
40.9052092,69.4006348,-0.278,0.333
38.1431970,67.3132324,-0.319,0.306
38.7626498,65.7971191,-0.122,0.324
39.7156376,68.0163574,0.238,0.307
40.9384144,71.6638184,-0.063,0.370
40.2208295,68.0822754,0.055,0.305
39.3937541,67.2033691,-0.354,0.306
38.9850323,65.5334473,-0.004,0.305
39.3257989,66.2805176,-0.752,0.299
41.0876316,70.6970215,-0.182,0.304
40.0528471,64.3249512,0.480,0.389
42.7550790,59.3371582,-0.080,0.283
40.8221231,71.3122559,-0.279,0.326
41.0047749,71.7956543,0.343,0.344
43.0769126,59.9523926,-0.365,0.286
41.8286415,60.2600098,-0.296,0.312
40.9881910,72.1252441,0.097,0.332
41.7795043,61.3366699,-0.378,0.291
41.0545014,70.0817871,0.372,0.390
41.3190751,69.2468262,0.986,0.437
41.3685636,60.6994629,-0.253,0.291
39.7494332,64.1271973,0.616,0.351
42.6097057,59.1833496,-0.070,0.302
38.8311493,65.6652832,0.288,0.404
38.5739370,65.7971191,-0.829,0.308
40.5889276,68.6755371,0.943,0.398
40.7056274,72.0812988,0.350,0.385
41.1703840,69.6643066,0.819,0.410
40.8221231,71.4001465,0.101,0.351
43.0769126,59.8425293,-0.442,0.302
40.0192008,64.8522949,-0.136,0.470
39.3257989,66.7199707,-0.392,0.298
41.0545014,61.9079590,-0.033,0.307
40.0023714,68.4997559,-0.537,0.324
42.2203813,59.9963379,-0.128,0.310
40.7555791,72.3889160,0.880,0.379
40.4553067,71.1584473,0.075,0.326
41.6318669,60.9411621,-0.564,0.313
40.9384144,69.5983887,0.220,0.400
39.0874355,66.0827637,-0.003,0.324
40.7056274,71.8615723,0.110,0.306
41.0213546,69.9719238,-0.018,0.319
39.9687002,66.6320801,-0.706,0.307
40.8387486,72.4768066,-0.089,0.330
40.8553700,69.6203613,0.944,0.393
40.7555791,72.1032715,-0.354,0.340
42.4153456,59.3811035,-0.488,0.284
38.9850323,66.7419434,-0.257,0.367
42.8679120,59.9963379,-1.163,0.287
38.2468082,67.8625488,-0.565,0.353
43.0608608,58.7878418,-0.202,0.284
40.3381699,68.1481934,-0.977,0.329
40.0192008,67.9064941,0.074,0.302
41.5496996,60.5017090,-0.634,0.289
39.2407620,65.6652832,-0.641,0.302
37.8835245,67.4011230,-0.398,0.318
39.8675871,67.6647949,-0.150,0.302
39.1726582,65.1379395,-0.288,0.302
40.7555791,70.7409668,-0.656,0.322
40.3549162,66.7199707,0.147,0.322
41.4344898,69.3127441,0.256,0.392
39.6649132,65.7971191,-0.578,0.316
40.2543761,70.8288574,-0.655,0.307
39.1726582,65.2697754,-0.348,0.323
39.7325375,67.4670410,-0.255,0.299
41.6975254,60.5456543,-0.038,0.323
38.2985586,66.3903809,-0.446,0.295
37.4661381,67.4890137,-0.611,0.309
37.6577316,67.5769043,-0.510,0.311
38.4707932,68.1262207,0.598,0.340
40.3549162,68.6755371,-0.357,0.317
42.0737617,60.2160645,-0.409,0.285
38.7455147,65.9729004,-0.493,0.323
38.3675016,66.4562988,-0.171,0.331
41.1869219,71.2243652,-0.242,0.329
39.9855379,66.7858887,-0.534,0.297
39.4616431,66.3024902,-0.816,0.295
41.4674278,60.3259277,-0.633,0.314
40.5054458,67.2473145,-0.436,0.313
40.3381699,69.0930176,0.304,0.303
37.3264881,67.2253418,-0.703,0.391
39.9518584,64.6765137,-0.196,0.337
40.4218598,66.1706543,-0.028,0.313
41.1538418,69.2468262,0.573,0.403
37.8661803,67.4890137,-0.315,0.305
41.1041904,71.4001465,0.120,0.333
40.4553067,70.5871582,-0.256,0.270
41.4180145,60.6555176,-0.874,0.321
40.2543761,69.0270996,-0.294,0.362
39.1215369,65.6652832,-0.580,0.302
38.3847272,67.8625488,-0.506,0.308
39.6987336,68.0383301,-0.072,0.303
38.6082854,67.0495605,-0.707,0.301
40.5555474,68.6535645,0.057,0.347
42.3666611,59.3151855,-0.345,0.309
43.1410776,60.3698730,-0.459,0.285
40.0864768,65.4675293,-0.259,0.319
