latitude,longitude,rwi,error
12.3721972,107.7648926,-0.001,0.417
9.5899171,106.3366699,0.041,0.404
21.4428427,105.5895996,0.011,0.396
11.8996033,108.2922363,0.025,0.392
21.9328544,105.1721191,0.236,0.403
22.0550957,105.2600098,0.038,0.379
9.5032437,106.1828613,-0.020,0.395
15.1463690,108.6437988,0.883,0.405
22.7660511,104.4909668,-0.609,0.296
9.9580298,105.9851074,0.125,0.431
12.4151184,108.1384277,-0.312,0.397
21.7084727,105.4797363,-0.153,0.454
21.7697025,106.7541504,-0.140,0.376
22.3399141,106.6003418,-0.816,0.433
10.3041101,106.0949707,-0.043,0.416
14.4878712,108.0285645,-0.412,0.406
20.5813670,106.5124512,0.546,0.361
18.4275017,105.2160645,0.501,0.415
12.5867322,108.2922363,-0.855,0.403
11.2753865,106.7761230,0.687,0.401
20.8485448,106.6442871,1.395,0.454
18.2815179,105.6555176,-0.372,0.396
14.9766264,108.2702637,-0.205,0.381
9.2647792,105.3698730,0.566,0.410
10.9088300,108.0065918,0.091,0.470
11.6199546,106.2487793,-0.474,0.398
21.6063650,106.4465332,-0.603,0.420
20.7869302,105.7873535,0.304,0.433
20.9511796,106.5563965,0.819,0.426
9.0478525,105.3259277,0.594,0.437
13.0794780,109.1271973,-0.079,0.417
18.3858046,105.6774902,-0.878,0.439
15.2099875,108.7536621,0.516,0.406
10.9088300,107.4792480,-0.111,0.427
20.5402210,106.2268066,0.114,0.416
18.3023803,105.5895996,-0.353,0.371
22.8875618,105.9631348,-0.441,0.306
21.2381821,105.6335449,0.918,0.427
20.4784813,105.4357910,0.353,0.407
12.0500648,107.1496582,-0.249,0.395
15.0827314,108.5998535,0.399,0.411
10.4986143,106.6882324,0.820,0.428
20.7458399,106.6223145,0.333,0.367
11.1891794,107.7429199,-0.537,0.389
21.0947502,106.5563965,1.206,0.426
21.1767283,104.0954590,-0.135,0.411
15.1887835,108.6877441,0.155,0.410
20.6841834,104.8205566,-0.529,0.339
19.9836736,105.9191895,0.457,0.408
9.3731925,106.1608887,0.283,0.424
10.6929962,106.2487793,0.386,0.394
18.8231166,105.5676270,0.245,0.406
