latitude,longitude,rwi,error
-11.4692577,29.7180176,-1.033,0.372
-9.1563324,31.8493652,-0.784,0.380
-10.3041101,31.2561035,-0.583,0.377
-17.0252724,27.1691895,-0.354,0.363
-14.3389038,25.1037598,-0.589,0.365
-14.9766264,27.4328613,-0.472,0.378
-15.9930146,23.4777832,-0.487,0.357
-13.6993616,28.5534668,-0.305,0.408
-8.8525066,31.1242676,-0.554,0.423
-10.4554016,29.9816895,-0.202,0.375
-10.1527460,33.3435059,-0.164,0.369
-10.0878536,30.9704590,-0.636,0.374
-10.1527460,28.8171387,-0.785,0.371
-11.8781020,28.6853027,-0.332,0.371
-13.3575541,28.6193848,-0.134,0.387
-17.1932744,25.8947754,-0.013,0.413
-10.2176252,29.7839355,-0.028,0.412
-14.4027591,28.4875488,1.131,0.541
-15.1887835,28.2019043,-0.566,0.415
-15.5701276,28.1359863,-0.078,0.449
-16.0141357,28.0700684,0.273,0.428
-12.4365763,27.8942871,-0.620,0.390
-9.2214045,30.9265137,-0.364,0.376
-12.6510579,32.9040527,-0.638,0.354
-17.0252724,23.9831543,-0.114,0.371
-10.8440961,31.7834473,-0.466,0.368
-12.5438394,25.8728027,-0.157,0.362
-9.4815719,32.7282715,-0.415,0.387
-14.8492310,25.2795410,-0.552,0.380
-10.6066195,32.8601074,-0.302,0.361
-13.8700799,28.5534668,-0.754,0.371
-11.8996033,28.6413574,-0.778,0.364
-13.3361750,29.9377441,-0.190,0.432
-12.7153674,30.8166504,-0.689,0.370
-13.1864679,23.6535645,-0.999,0.353
-16.9832482,22.9064941,-0.691,0.355
-11.2969342,24.8840332,-0.709,0.349
-15.1675773,23.2360840,-0.597,0.362
-10.0662199,31.4978027,-0.777,0.367
-15.2311894,27.9382324,-0.568,0.369
-13.2506393,28.9050293,-0.462,0.367
-9.8714518,30.5529785,-0.218,0.377
-12.9724418,27.4987793,-0.535,0.365
-12.5009395,26.5319824,-0.489,0.357
-14.5942153,24.1589355,-0.119,0.381
-12.7153674,27.7844238,-0.319,0.365
-14.8279911,28.7072754,-0.836,0.370
-13.9127399,29.1027832,-0.632,0.382
-13.6139558,23.1262207,0.026,0.374
-12.4151184,33.2116699,-0.773,0.358
-13.6353101,29.3884277,1.077,0.554
