latitude,longitude,rwi,error
-20.5402210,30.5529785,-0.145,0.352
-19.5494371,31.4538574,0.027,0.363
-21.2177003,28.5974121,-0.716,0.358
-20.2725029,30.5310059,-0.356,0.364
-17.6754275,30.0476074,-0.272,0.356
-19.8803914,30.7287598,-0.423,0.354
-19.3837043,32.2448730,-0.661,0.355
-19.8390597,32.5305176,-0.432,0.344
-17.8846589,29.5422363,-0.870,0.352
-18.0518668,26.0046387,-0.666,0.365
-19.3837043,31.2561035,-0.143,0.345
-18.7607124,28.2678223,-0.615,0.378
-19.3837043,29.2126465,-0.657,0.365
-17.0672871,31.1242676,-0.193,0.359
-18.5317000,31.4538574,0.005,0.352
-19.7563639,32.1569824,-0.465,0.359
-17.5497715,29.4763184,-0.370,0.350
-17.6963617,31.8054199,-0.098,0.399
-19.7149999,31.0803223,-0.614,0.355
-18.7815164,31.3659668,-0.172,0.366
-16.7309063,31.8054199,-0.482,0.352
-19.5080198,32.5085449,-0.349,0.346
-16.8991717,31.3659668,-0.257,0.355
-20.9101341,31.0803223,-0.760,0.347
-18.3649523,28.2897949,-0.817,0.350
-19.9836736,28.9929199,-0.631,0.393
-17.8637468,28.6853027,-0.739,0.375
-16.6256648,29.4543457,-0.532,0.347
-21.2791370,28.3996582,-0.854,0.359
-20.8074712,31.0144043,-0.078,0.398
-17.0882909,31.9372559,-0.534,0.349
-18.2606530,28.8830566,-0.487,0.360
-16.6046096,30.1574707,-0.409,0.342
-18.4275017,32.9479980,-0.188,0.348
-18.1980434,28.8391113,-0.382,0.503
-20.4373076,30.2453613,-0.766,0.372
-17.2772184,29.2126465,-0.537,0.345
-20.0662507,32.5744629,-0.605,0.342
-17.6335519,32.1569824,-0.536,0.350
-19.1347889,31.9372559,-0.732,0.377
-18.3023803,30.5090332,-0.555,0.394
-17.2352512,31.5197754,-0.196,0.353
-20.4578958,30.5310059,-0.670,0.357
-17.7172934,32.1789551,-0.492,0.359
-17.4449916,31.1901855,-0.287,0.356
-19.1555462,32.3767090,-0.064,0.352
-20.7458399,29.9816895,-0.693,0.354
-16.3517676,31.5417480,-0.634,0.346
-18.9062862,32.4645996,-0.057,0.343
-19.4665919,32.3547363,-0.348,0.346
-20.9101341,30.5529785,-0.704,0.350
-16.5835521,31.1242676,-0.476,0.353
-18.3440975,27.8942871,-0.551,0.366
-17.0252724,31.0363770,-0.312,0.359
-17.5288204,31.1022949,-0.262,0.357
-17.0252724,29.8937988,-0.761,0.361
-20.0662507,27.3669434,-0.244,0.366
-18.9894144,32.0910645,-0.211,0.343
-21.2996102,30.4870605,-0.519,0.355
-17.2562360,32.1350098,-0.282,0.353
-19.4044302,32.5524902,-0.402,0.367
